model_number_1,model_number_2,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes
0_model,4_model,0.8483113485354369,1.3569498954636563,0.8239376124988861,0.6491626424521827,0.7140757174837176,0.9280954351807039,0.912,0.588,1.613,0.903,0
1_model,2_model,0.8597523338768834,0.6031516038838668,0.3013609428360363,0.9473215825062254,0.6497477143138649,0.5514644396372471,0.943,0.404,0.724,0.904,0
1_model,3_model,1.1868099958175962,2.002159558916987,0.6248130824010114,0.9260179918054211,1.6107483963430214,0.5015306615480658,0.798,1.134,1.849,0.803,0
1_model,4_model,1.1285847825889568,1.975984644831999,0.7701769314233027,0.8255910645754264,1.6894612428410805,0.7001287634941091,0.824,1.057,1.802,0.847,0
2_model,3_model,1.0978510969115842,2.2029253343066215,0.6955708935840416,0.5883956139923592,2.623747608607176,0.3879605726016024,0.796,1.124,2.032,0.803,0
2_model,4_model,1.1395597061276193,2.164770362970316,0.7673838149941488,0.7104462370310544,2.367029568782821,0.8859607613140862,0.801,1.125,2.106,0.819,0
3_model,4_model,0.5387619142658968,0.9319226803855752,0.5115873817540088,0.36724093893317267,1.1479674987514146,0.8229723610954551,0.955,0.454,0.873,0.958,0
0_model,1_model,0.6817906138569315,1.2696186772005489,0.6303699399056911,0.384890948026705,2.6525578541893697,0.3892172922603183,0.893,0.618,1.665,0.86,0
0_model,2_model,0.7884519254303503,1.5221231643362025,0.6725915290116575,0.4011439646577258,3.0379176508911088,0.5327975879490179,0.788,0.867,3.869,0.787,0
0_model,3_model,0.5269251356417812,0.9764337532739843,0.5928628376516415,0.28139860208365525,1.855947138059658,0.34427850593009246,0.963,0.309,1.547,0.962,0
0_model,4_model,0.545457590171927,1.082538537204824,0.6004717239439568,0.21008826866594313,0.9862507208933438,0.33436254068968424,0.971,0.249,1.356,0.966,0
1_model,2_model,0.4273600552275299,0.5237208755144597,0.13285096661072876,0.41676752945527246,0.5521415199950254,0.5222508762544339,0.911,0.364,3.255,0.918,0
1_model,3_model,0.5515724776404821,0.7473245631790502,0.8447710903511835,0.4351042977703501,1.1317416898179213,0.20025504631504754,0.926,0.538,2.327,0.962,0
1_model,4_model,0.7391934068894971,1.4199051230266775,0.19420577803582612,0.42535632178751553,2.614929354645199,0.14160335145017577,0.891,0.674,1.676,0.879,0
2_model,3_model,0.6608591032664954,1.1072434888179055,0.8738019493190032,0.4110663035517344,1.618099105771748,0.556424823192638,0.814,0.81,5.236,0.943,0
2_model,4_model,0.9137386987636242,1.8213828253924587,0.30503640952457317,0.4219136919008841,2.938784858432125,0.5420663904600792,0.788,0.9,4.676,0.862,0
3_model,4_model,0.6453803251443027,1.241098690827404,0.8231536294521881,0.2718900499078842,1.8464341236168083,0.2154074595557397,0.933,0.415,0.874,0.879,0
